Time,Pack Amperage (Current),J1772 AC Amp Limit
Thu Nov 5 14:54:13 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:13 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:13 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:13 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:13 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:14 GMT 2020,1.100000,80.000000
Thu Nov 5 14:54:14 GMT 2020,1.100000,14.000000
Thu Nov 5 14:54:14 GMT 2020,1.100000,14.000000
Thu Nov 5 14:54:14 GMT 2020,1.100000,14.000000
Thu Nov 5 14:54:14 GMT 2020,1.100000,14.000000
Thu Nov 5 14:54:14 GMT 2020,1.100000,14.000000
Thu Nov 5 14:54:14 GMT 2020,1.100000,14.000000
Thu Nov 5 14:54:14 GMT 2020,1.100000,14.000000
Thu Nov 5 14:54:14 GMT 2020,1.100000,14.000000
Thu Nov 5 14:54:14 GMT 2020,1.100000,14.000000
Thu Nov 5 14:54:15 GMT 2020,1.100000,14.000000
Thu Nov 5 14:54:15 GMT 2020,1.100000,14.000000
Thu Nov 5 14:54:15 GMT 2020,1.100000,14.000000
Thu Nov 5 14:54:15 GMT 2020,1.100000,14.000000
